Recording	Media	Sentence_index	Word_index	Participant	age	sexe	situation_actuelle	Timeline	AOI	Total_duration_of_fixations	Average_duration_of_fixations	Minimum_duration_of_fixations	Maximum_duration_of_fixations	Number_of_fixations	Time_to_first_fixation	Duration_of_first_fixation	Last_AOI_viewed	Average_pupil_diameter	Total_duration_of_whole_fixations	Average_duration_of_whole_fixations	Minimum_duration_of_whole_fixations	Maximum_duration_of_whole_fixations	Number_of_whole_fixations	Time_to_first_whole_fixation	Duration_of_first_whole_fixation	Number_of_saccades_in_AOI	Time_to_entry_saccade	Time_to_exit_saccade	Peak_velocity_of_entry_saccade	Peak_velocity_of_exit_saccade	AOI_string	Text_unit_type	Number_of_units	First-pass_first_fixation_duration	First-pass_duration	Selective_regression-path_duration	First-pass_regression	Regression-path_duration	Re-reading_duration	text_type	version	text_name	total_count
Recording19	cas_226_Original_1	1	1	SET_2_B_general_participant8	48 53	F	employé	Timeline2	Cas	98	98.0	98.0	98.0	1	878.0	98.0	travers	2,73945	98	98.0	98.0	98.0	1	878.0	98.0	0					Cas	Word	3	98.0	98.0	98.0	0.0	98.0	0.0	clinical	original	226	1
Recording19	cas_226_Original_1	1	2	SET_2_B_general_participant8	48 53	F	employé	Timeline2	clinique	210	105.0	88.0	122.0	2	1156.0	88.0	travers	2,75288	210	105.0	88.0	122.0	2	1156.0	88.0	0					clinique	Word	8	88.0	210.0	210.0	0.0	210.0	0.0	clinical	original	226	2
Recording19	cas_226_Original_1	2	1	SET_2_B_general_participant8	48 53	F	employé	Timeline2	B.H	845	211.0	107.0	332.0	4	1568.0	120.0	travers	2,63653	845	211.0	107.0	332.0	4	1568.0	120.0	1	1551.0	2291.0	74,37	103,39	B.H	Word	3	0.0	0.0	0.0		0.0	0.0	clinical	original	226	3
Recording19	cas_226_Original_1	2	2	SET_2_B_general_participant8	48 53	F	employé	Timeline2	âgée	400	133.0	108.0	175.0	3	1435.0	117.0	travers	2,62879	400	133.0	108.0	175.0	3	1435.0	117.0	0	2291.0	1551.0	103,39	74,37	âgée	Word	4	117.0	117.0	400.0	1.0	1245.0	1128.0	clinical	original	226	4
Recording19	cas_226_Original_1	2	3	SET_2_B_general_participant8	48 53	F	employé	Timeline2	de	0				0			travers		0				0			0					de	Word	2	0.0	0.0	0.0		0.0	0.0	clinical	original	226	5
Recording19	cas_226_Original_1	2	4	SET_2_B_general_participant8	48 53	F	employé	Timeline2	30	162	162.0	162.0	162.0	1	3063.0	162.0	travers	2,53929	162	162.0	162.0	162.0	1	3063.0	162.0	0					30	Word	2	162.0	162.0	162.0	0.0	162.0	0.0	clinical	original	226	6
Recording19	cas_226_Original_1	2	5	SET_2_B_general_participant8	48 53	F	employé	Timeline2	ans	0				0			travers		0				0			0					ans,	Word	4	0.0	0.0	0.0		0.0	0.0	clinical	original	226	7
Recording19	cas_226_Original_1	2	6	SET_2_B_general_participant8	48 53	F	employé	Timeline2	sans	167	167.0	167.0	167.0	1	3280.0	167.0	travers	2,49671	167	167.0	167.0	167.0	1	3280.0	167.0	0					sans	Word	4	167.0	167.0	167.0	0.0	167.0	0.0	clinical	original	226	8
Recording19	cas_226_Original_1	2	7	SET_2_B_general_participant8	48 53	F	employé	Timeline2	antécédents	405	202.0	123.0	282.0	2	3498.0	282.0	travers	2,41678	405	202.0	123.0	282.0	2	3498.0	282.0	1		3921.0		328,68	antécédents	Word	11	282.0	405.0	405.0	0.0	405.0	0.0	clinical	original	226	9
Recording19	cas_226_Original_1	2	8	SET_2_B_general_participant8	48 53	F	employé	Timeline2	pathologiques	483	161.0	140.0	185.0	3	3961.0	140.0	travers	2,37397	483	161.0	140.0	185.0	3	3961.0	140.0	2	3921.0	4478.0	328,68	295,92	pathologiques	Word	13	140.0	483.0	483.0	0.0	483.0	0.0	clinical	original	226	10
